Parametri velivolo: 
Valore della massa:' 1043 
Valore apertura alare: 10.92 
Valore della superficie alare: 16.3 
Valore della corda: 1.49 
Valore del Mach di Drag Rise: 0.6 
Valore della distanza tra l'asse di spinta e l'asse baricentrico x lungo z :0 
Valore della distanza tra l'asse di spinta e l'asse baricentrico x lungo y :0 
Valore della distanza tra l'asse di spinta e l'asse baricentrico x lungo y :0 
Angolo tra l'asse di spinta e l'asse x nel piano x-y DTZ [deg] >0 verso DX : 0 
Angolo tra l'asse di spinta e l'asse x nel piano x-z DTY [deg] >0 verso l'alto : 0 
Numero di incidenze per cui sono disponibili i dati: 126 
Rotary derivatives (se è 1--> presenti): 0 
Valore del CG:
Valore di JX: 1272.5 
Valore di JY: 1806.7 
Valore di JZ: 2640.3 
Valore di JXZ: 0 
Opzione posizione baricentro: 0 
Nuova posizione baricentro: 0.25 
Posizione pilota lungo X (rispetto al CG): 0 
Posizione pilota lungo Y (rispetto al CG): 0 
Posizione pilota lungo Z (rispetto al CG): 0 

Parametri Deflection Limits: 
Deflessione MAX elevator: 20 
Deflessione MIN elevator: -20 
Deflessione Ailerons: 20 
Deflessione Rudder: 20 
Deflessione Flap MIN: 40 
Deflessione FLAP MAX: 0 

Parametri Massa Combustibile: 
Opzione massa (0-->costante, 1-->variabile): 1 
Frazione peso di combustibile (MTOW): 0.05 

Steady State Coefficients: 
alfa 	 CX 	 CY 	 CZ 	 Cl 	 Cm 	 Cn 	 

 -5 	 -0.0189295 	 0 	 0.162267 	 0 	 0.038 	 0 	
 -4.8 	 -0.0182907 	 0 	 0.171099 	 0 	 0.0348874 	 0 	
 -4.6 	 -0.0181577 	 0 	 0.174772 	 0 	 0.0317741 	 0 	
 -4.4 	 -0.0184762 	 0 	 0.173281 	 0 	 0.0286603 	 0 	
 -4.2 	 -0.0191923 	 0 	 0.166621 	 0 	 0.0255458 	 0 	
 -4 	 -0.0202517 	 0 	 0.15479 	 0 	 0.0224307 	 0 	
 -3.8 	 -0.0215007 	 0 	 0.139406 	 0 	 0.019315 	 0 	
 -3.6 	 -0.0227025 	 0 	 0.123914 	 0 	 0.0161987 	 0 	
 -3.4 	 -0.0238498 	 0 	 0.108427 	 0 	 0.0130818 	 0 	
 -3.2 	 -0.0249427 	 0 	 0.0929442 	 0 	 0.00996423 	 0 	
 -3 	 -0.0259814 	 0 	 0.0774659 	 0 	 0.00684607 	 0 	
 -2.8 	 -0.0269602 	 0 	 0.0619905 	 0 	 0.0037273 	 0 	
 -2.6 	 -0.0278549 	 0 	 0.0465112 	 0 	 0.00060791 	 0 	
 -2.4 	 -0.0286625 	 0 	 0.0310273 	 0 	 -0.00251209 	 0 	
 -2.2 	 -0.0293831 	 0 	 0.0155394 	 0 	 -0.0056327 	 0 	
 -2 	 -0.0300166 	 0 	 4.759e-005 	 0 	 -0.00875393 	 0 	
 -1.8 	 -0.0305666 	 0 	 -0.0154475 	 0 	 -0.0118758 	 0 	
 -1.6 	 -0.0310697 	 0 	 -0.0309445 	 0 	 -0.0149982 	 0 	
 -1.4 	 -0.0315357 	 0 	 -0.0464434 	 0 	 -0.0181213 	 0 	
 -1.2 	 -0.0319647 	 0 	 -0.0619442 	 0 	 -0.021245 	 0 	
 -1 	 -0.0323566 	 0 	 -0.0774471 	 0 	 -0.0243693 	 0 	
 -0.8 	 -0.0327102 	 0 	 -0.0929524 	 0 	 -0.0274942 	 0 	
 -0.6 	 -0.0329695 	 0 	 -0.108461 	 0 	 -0.0306197 	 0 	
 -0.4 	 -0.0331043 	 0 	 -0.123972 	 0 	 -0.0337459 	 0 	
 -0.2 	 -0.0331145 	 0 	 -0.139485 	 0 	 -0.0368726 	 0 	
 0 	 -0.033 	 0 	 -0.155 	 0 	 -0.04 	 0 	
 0.2 	 -0.0327609 	 0 	 -0.170515 	 0 	 -0.043128 	 0 	
 0.4 	 -0.0324199 	 0 	 -0.186031 	 0 	 -0.0462566 	 0 	
 0.6 	 -0.0320036 	 0 	 -0.201546 	 0 	 -0.0493858 	 0 	
 0.8 	 -0.0315122 	 0 	 -0.217061 	 0 	 -0.0525156 	 0 	
 1 	 -0.0309457 	 0 	 -0.232575 	 0 	 -0.0556461 	 0 	
 1.2 	 -0.030304 	 0 	 -0.248089 	 0 	 -0.0587771 	 0 	
 1.4 	 -0.0295954 	 0 	 -0.263602 	 0 	 -0.0619082 	 0 	
 1.6 	 -0.0288403 	 0 	 -0.279114 	 0 	 -0.0650377 	 0 	
 1.8 	 -0.0280394 	 0 	 -0.294626 	 0 	 -0.0681657 	 0 	
 2 	 -0.0271929 	 0 	 -0.310138 	 0 	 -0.0712921 	 0 	
 2.2 	 -0.0263007 	 0 	 -0.32565 	 0 	 -0.074417 	 0 	
 2.4 	 -0.0253502 	 0 	 -0.341161 	 0 	 -0.0775403 	 0 	
 2.6 	 -0.0242779 	 0 	 -0.356668 	 0 	 -0.080662 	 0 	
 2.8 	 -0.0230747 	 0 	 -0.372172 	 0 	 -0.0837821 	 0 	
 3 	 -0.0217408 	 0 	 -0.387669 	 0 	 -0.0869007 	 0 	
 3.2 	 -0.020276 	 0 	 -0.40316 	 0 	 -0.0900177 	 0 	
 3.4 	 -0.0186854 	 0 	 -0.418645 	 0 	 -0.0931331 	 0 	
 3.6 	 -0.0170313 	 0 	 -0.434126 	 0 	 -0.0962469 	 0 	
 3.8 	 -0.0153331 	 0 	 -0.449605 	 0 	 -0.0993592 	 0 	
 4 	 -0.0135907 	 0 	 -0.465081 	 0 	 -0.10247 	 0 	
 4.2 	 -0.0118041 	 0 	 -0.480555 	 0 	 -0.105579 	 0 	
 4.4 	 -0.00997254 	 0 	 -0.496027 	 0 	 -0.108687 	 0 	
 4.6 	 -0.00803684 	 0 	 -0.511492 	 0 	 -0.111793 	 0 	
 4.8 	 -0.00595992 	 0 	 -0.526947 	 0 	 -0.114897 	 0 	
 5 	 -0.00374183 	 0 	 -0.54239 	 0 	 -0.118 	 0 	
 5.2 	 -0.00138264 	 0 	 -0.557821 	 0 	 -0.121101 	 0 	
 5.4 	 0.00111758 	 0 	 -0.573239 	 0 	 -0.124201 	 0 	
 5.6 	 0.00369324 	 0 	 -0.588649 	 0 	 -0.127299 	 0 	
 5.8 	 0.00625448 	 0 	 -0.60406 	 0 	 -0.130396 	 0 	
 6 	 0.00880084 	 0 	 -0.619474 	 0 	 -0.133491 	 0 	
 6.2 	 0.0113324 	 0 	 -0.63489 	 0 	 -0.136584 	 0 	
 6.4 	 0.0138493 	 0 	 -0.650309 	 0 	 -0.139676 	 0 	
 6.6 	 0.0164018 	 0 	 -0.665727 	 0 	 -0.142766 	 0 	
 6.8 	 0.0191316 	 0 	 -0.681126 	 0 	 -0.145855 	 0 	
 7 	 0.0220469 	 0 	 -0.696505 	 0 	 -0.148942 	 0 	
 7.2 	 0.0251477 	 0 	 -0.711861 	 0 	 -0.152028 	 0 	
 7.4 	 0.0284338 	 0 	 -0.727195 	 0 	 -0.155112 	 0 	
 7.6 	 0.0318878 	 0 	 -0.742505 	 0 	 -0.158194 	 0 	
 7.8 	 0.0354069 	 0 	 -0.757806 	 0 	 -0.161274 	 0 	
 8 	 0.038974 	 0 	 -0.7731 	 0 	 -0.164352 	 0 	
 8.2 	 0.042589 	 0 	 -0.788386 	 0 	 -0.167428 	 0 	
 8.4 	 0.0462519 	 0 	 -0.803665 	 0 	 -0.170501 	 0 	
 8.6 	 0.0499639 	 0 	 -0.818936 	 0 	 -0.173571 	 0 	
 8.8 	 0.0537419 	 0 	 -0.834198 	 0 	 -0.17664 	 0 	
 9 	 0.0575921 	 0 	 -0.849449 	 0 	 -0.179706 	 0 	
 9.2 	 0.0615144 	 0 	 -0.864688 	 0 	 -0.182769 	 0 	
 9.4 	 0.0655087 	 0 	 -0.879916 	 0 	 -0.18583 	 0 	
 9.6 	 0.0695751 	 0 	 -0.895132 	 0 	 -0.188889 	 0 	
 9.8 	 0.0737073 	 0 	 -0.910338 	 0 	 -0.191946 	 0 	
 10 	 0.0779007 	 0 	 -0.925534 	 0 	 -0.195 	 0 	
 10.2 	 0.0821554 	 0 	 -0.940719 	 0 	 -0.198052 	 0 	
